parser	dataset	input_bytes	iterations	best_ms	mb_s	checksum
benchmaxxed-xml-walk	canada.xml	21527426	54	669.330	1656.3	445487
benchmaxxed-xml-walk	citm_catalog.xml	4898768	282	885.762	1487.4	90682
benchmaxxed-xml-walk	twitter.xml	1718148	348	494.856	1152.3	37338
pugixml-minimal-walk	canada.xml	21527426	34	708.968	984.6	445487
pugixml-minimal-walk	citm_catalog.xml	4898768	182	944.216	900.5	90682
pugixml-minimal-walk	twitter.xml	1718148	231	504.042	750.9	37338
quickxml-event-walk	canada.xml	21527426	16	524.528	626.2	445487
quickxml-event-walk	citm_catalog.xml	4898768	106	878.528	563.7	90682
quickxml-event-walk	twitter.xml	1718148	162	507.708	522.8	37338
bun-xml-ordered-walk	canada.xml	21527426	3	424.308	145.2	445487
bun-xml-ordered-walk	citm_catalog.xml	4898768	18	656.406	128.1	90682
bun-xml-ordered-walk	twitter.xml	1718148	76	856.824	145.3	37338
php-libxml2-compact-walk	canada.xml	21527426	3	541.005	113.8	445487
php-libxml2-compact-walk	citm_catalog.xml	4898768	10	541.800	86.2	90682
php-libxml2-compact-walk	twitter.xml	1718148	42	824.460	83.5	37338
python-libxml2-compact-walk	canada.xml	21527426	2	673.834	60.9	445487
python-libxml2-compact-walk	citm_catalog.xml	4898768	7	599.004	54.6	90682
python-libxml2-compact-walk	twitter.xml	1718148	16	528.400	49.6	37338
